show_id,Type,Title,Director,Country,Date_added,Date_Added,Release_Year,Rating,Duration,Listed_In,IMDB_Rating,IMBD_Votes
s7587,Movie,Christmas Crossfire,Detlev Buck,Germany,1/26/2021,1/04/2021,2020,TV-MA,106 min,"Comedies, International Movies, Thrillers",4.8,1359
s635,Movie,The Binding,Domenico de Feudis,Italy,11/15/2020,12/03/2021,2020,TV-MA,93 min,"Horror Movies, International Movies, Thrillers",4.8,4145
s800,Movie,What's Your Raashee?,Ashutosh Gowariker,India,10-02-2020,10/29/2020,2009,TV-PG,203 min,"Comedies, International Movies, Music & Musicals",4.8,2718
s861,Movie,MILF,Axelle Laffont,France,9/15/2020,10/19/2020,2018,TV-MA,102 min,"Comedies, International Movies, Romantic Movies",4.8,6047
s1139,Movie,The Main Event,Jay Karas,United States,06-04-2020,12/11/2019,2020,TV-G,103 min,"Children & Family Movies, Comedies, Sports Movies",4.8,2279
s1172,Movie,Muqaddar ka Faisla,Prakash Mehra,India,5/25/2020,10/31/2019,1987,TV-14,172 min,"Action & Adventure, Comedies, Dramas",4.8,68
s1221,Movie,Uncovered,Zuko Nodada,South Africa,05-07-2020,1/07/2018,2019,TV-MA,98 min,"Dramas, International Movies",4.8,21
s1242,Movie,When Love Happens,Seyi Babatope,Nigeria,05-01-2020,1/04/2018,2014,TV-14,109 min,"International Movies, Romantic Movies",4.8,128
s1253,Movie,The Forest,Jason Zada,United States,4/23/2020,1/09/2017,2016,PG-13,93 min,"Horror Movies, Independent Movies",4.8,42148
s1324,Movie,Breaking the Bank,Vadim Jean,United Kingdom,04-01-2020,8/04/2016,2014,TV-PG,105 min,"Comedies, International Movies",4.8,928
s1423,Movie,Super Monsters Save Christmas,Steve Ball,United States,02-05-2020,1/09/2021,2019,TV-Y,24 min,Children & Family Movies,4.8,57
s1558,Movie,Manmadhudu 2,Rahul Ravindran,India,12-07-2019,6/17/2021,2019,TV-MA,152 min,"Comedies, Dramas, International Movies",4.8,693
s1611,Movie,The Little Switzerland,Kepa Sojo,Spain,11/15/2019,6/11/2020,2019,TV-MA,86 min,"Comedies, International Movies",4.8,1245
s1708,Movie,"Oh, Ramona!",Cristina Jacob,Romania,9/24/2019,11/05/2020,2019,TV-MA,109 min,"Comedies, International Movies",4.8,8854
s1864,Movie,The Hard Way,Keoni Waxman,United States,06-02-2019,11/26/2019,2019,TV-MA,94 min,Action & Adventure,4.8,3171
s1870,Movie,Weapon of Choice,Fritz Ofner,Austria,5/31/2019,7/18/2019,2018,TV-MA,89 min,"Documentaries, International Movies",4.8,162
s1883,Movie,Beauty and the Bestie,Wenn V. Deramas,Philippines,5/22/2019,1/03/2019,2015,TV-14,119 min,"Action & Adventure, Comedies, International Movies",4.8,294
s1977,Movie,Lang Tong,Sam Loh,Singapore,3/24/2019,8/06/2018,2015,TV-MA,82 min,"International Movies, Thrillers",4.8,307
s2058,Movie,Chance Pe Dance,Ken Ghosh,India,2/22/2019,4/29/2016,2010,TV-14,121 min,"Comedies, Dramas, International Movies",4.8,2968
s2155,Movie,Malevolent,Olaf de Fleur,United Kingdom,12/20/2018,1/09/2020,2018,TV-MA,89 min,"Horror Movies, Thrillers",4.8,13290
s2301,Movie,Going for Gold,Clay Glen,Australia,10/13/2018,12/07/2019,2018,TV-G,88 min,"Children & Family Movies, Dramas, International Movies",4.8,537
s2458,Movie,The Titan,Lennart Ruff,United Kingdom,7/27/2018,2/26/2021,2018,TV-MA,97 min,"Dramas, Sci-Fi & Fantasy, Thrillers",4.8,30698
s2790,Movie,Qila,Umesh Mehra,India,10/26/2017,1/03/2020,1998,TV-14,161 min,"Dramas, International Movies",4.8,129
s2865,Movie,Dieter Nuhr: Nuhr in Berlin,Volker Weicker,Germany,09-01-2017,10/27/2015,2016,TV-MA,69 min,Stand-Up Comedy,4.8,67
s2908,Movie,Coin Heist,Emily Hagins,United States,7/18/2017,6/08/2021,2017,TV-14,98 min,"Children & Family Movies, Dramas",4.8,2638
s3047,Movie,The Ridiculous 6,Frank Coraci,United States,04-10-2017,2/07/2020,2015,TV-14,120 min,"Action & Adventure, Comedies",4.8,47935
s3179,Movie,New York Minute,Dennie Gordon,United States,08-11-2016,11/08/2016,2004,PG,91 min,"Children & Family Movies, Comedies",4.8,23307
s1011,Movie,The Kissing Booth 3,Vince Marcello,United Kingdom,8/25/2021,1/07/2021,2021,TV-14,114 min,"Comedies, Romantic Movies",4.7,15536
s5146,Movie,Skylines,Liam O'Donnell,United Kingdom,05-01-2021,10/31/2019,2020,R,113 min,Action & Adventure,4.7,7971
s349,Movie,Sentinelle,Julien Leclercq,France,4/22/2021,1/09/2017,2021,TV-MA,81 min,"Action & Adventure, Dramas, International Movies",4.7,7726
s6774,Movie,The Rope Curse 2,Liao Shih-han,Taiwan,2/23/2021,10/09/2020,2020,TV-MA,105 min,"Horror Movies, International Movies",4.7,339
s7215,Movie,We Can Be Heroes,Robert Rodriguez,United States,2/19/2021,11/05/2020,2020,PG,101 min,"Children & Family Movies, Comedies",4.7,14401
s446,Movie,London Hughes: To Catch a D*ck,Kristian Mercado,United States,2/14/2021,2/05/2020,2020,TV-MA,68 min,Stand-Up Comedy,4.7,318
s771,Movie,Maniyarayile Ashokan,Shamzu Zayba,India,10-12-2020,4/29/2016,2020,TV-14,110 min,"Comedies, International Movies, Romantic Movies",4.7,1235
s808,Movie,Malibu Rescue: The Next Wave,Savage Steve Holland,United States,9/28/2020,6/07/2021,2020,TV-G,71 min,"Children & Family Movies, Comedies",4.7,818
s864,Movie,Sylvia,Daniel Oriahi,Nigeria,9/14/2020,11/13/2020,2018,TV-14,104 min,"Dramas, International Movies, Thrillers",4.7,126
s1161,Movie,Kaal,Soham Shah,India,5/29/2020,6/09/2018,2005,TV-14,126 min,"Horror Movies, International Movies, Thrillers",4.7,5309
s1244,Movie,Girl on the Third Floor,Travis Stevens,United States,4/30/2020,6/04/2018,2019,TV-MA,92 min,Horror Movies,4.7,9823
