show_id,Type,Title,Director,Country,Date_added,Date_Added,Release_Year,Rating,Duration,Listed_In,IMDB_Rating,IMBD_Votes
s3236,TV Show,Our Planet,Alastair Fothergill,United Kingdom,11/13/2015,11/13/2015,2019,TV-PG,1 Season,"Docuseries, Science & Nature TV",9.3,41386
s625,Movie,David Attenborough: A Life on Our Planet,"Alastair Fothergill, Jonnie Hughes, Keith Scholey",United Kingdom,11/19/2020,1/09/2018,2020,PG,84 min,Documentaries,9,31180
s1038,Movie,No Longer kids,Samir Al Asfory,Egypt,07-03-2020,8/09/2021,1979,TV-14,237 min,"Comedies, Dramas, International Movies",9,943
s2701,Movie,Death Note,Adam Wingard,United States,1/25/2018,11/25/2016,2017,TV-MA,100 min,"Horror Movies, Thrillers",9,302147
s146,Movie,Inception,Christopher Nolan,United States,8/13/2021,5/14/2021,2010,PG-13,148 min,"Action & Adventure, Sci-Fi & Fantasy, Thrillers",8.8,2268288
s767,Movie,Sky Tour: The Movie,Nguyen Thanh Tung,Vietnam,10/14/2020,8/09/2021,2020,TV-G,93 min,"Documentaries, International Movies, Music & Musicals",8.8,1036
s3233,TV Show,Chappelle's Show,Stan Lathan,United States,10/16/2015,10/16/2015,2005,TV-MA,2 Seasons,TV Comedies,8.8,62140
s3790,Movie,Bo Burnham: Inside,Bo Burnham,United States,6/23/2021,12/02/2021,2021,TV-MA,88 min,Stand-Up Comedy,8.7,44074
s519,TV Show,A Lion in the House,"Steven Bognar, Julia Reichert",United States,12/18/2020,6/16/2021,2006,TV-14,1 Season,TV Shows,8.7,312
s1036,Movie,Bye Bye London,Almunsif Alsuwaisi,Kuwait,07-05-2020,12/10/2020,1981,TV-14,177 min,"Comedies, Dramas, International Movies",8.7,154
s2309,TV Show,Mr. Sunshine,Lee Eung-bok,South Korea,10-12-2018,7/10/2016,2018,TV-MA,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",8.7,6855
s2862,TV Show,Dave Chappelle,Stan Lathan,United States,09-01-2017,1/09/2020,2017,TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",8.7,2753
s9,TV Show,The Great British Baking Show,Andy Devonshire,United Kingdom,9/24/2021,9/24/2021,2021,TV-14,9 Seasons,"British TV Shows, Reality TV",8.6,9564
s1891,Movie,Chhota Bheem and The ShiNobi Secret,Rajiv Chilaka,India,08-03-2021,2/10/2018,2013,TV-Y7,64 min,Children & Family Movies,8.6,6
s3988,Movie,In Our Mothers' Gardens,Shantrelle P. Lewis,United States,6/15/2021,5/12/2019,2020,TV-MA,85 min,Documentaries,8.6,124
s627,Movie,"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",Amy Segal,Canada,11/17/2020,8/21/2020,2020,TV-MA,44 min,"Documentaries, LGBTQ Movies",8.6,1357
s1120,TV Show,Middleditch & Schwartz,Ryan Polito,United States,6/13/2020,3/16/2018,2020,TV-MA,1 Season,TV Comedies,8.6,5147
s1613,TV Show,Sacred Games,"Vikramaditya Motwane, Anurag Kashyap",India,11-11-2019,4/18/2017,2019,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, TV Dramas",8.6,85088
s1964,Movie,Merku Thodarchi Malai,Lenin Bharathi,India,04-11-2019,9/09/2021,2018,TV-MA,115 min,"Dramas, Independent Movies, International Movies",8.6,1810
s2232,TV Show,Age of Rebellion,Peter Ho,Taiwan,11-09-2018,3/10/2020,2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",8.6,49
s2724,TV Show,Daughters of Destiny,Vanessa Roth,United States,12/26/2017,7/15/2018,2017,TV-14,1 Season,Docuseries,8.6,900
s719,TV Show,Call the Midwife,Philippa Lowthorpe,United Kingdom,10/23/2020,3/16/2018,2020,TV-MA,9 Seasons,"British TV Shows, International TV Shows, TV Dramas",8.5,25562
s729,Movie,Ani... Dr. Kashinath Ghanekar,Abhijeet Deshpande,India,10/19/2020,6/20/2019,2018,TV-14,157 min,"Dramas, International Movies",8.5,1071
s993,TV Show,Supernatural,Phil Sgriccia,United States,7/14/2020,1/10/2018,2019,TV-14,15 Seasons,"Classic & Cult TV, TV Action & Adventure, TV Horror",8.5,428639
s1090,TV Show,Scissor Seven,He Xiaofeng,China,6/23/2020,7/10/2016,2020,TV-MA,2 Seasons,"International TV Shows, TV Action & Adventure, TV Comedies",8.5,297
s1968,Movie,Bill Hicks: Revelations,Chris Bould,United Kingdom,04-01-2019,1/09/2020,1993,TV-MA,56 min,Stand-Up Comedy,8.5,3085
s1983,Movie,Springsteen on Broadway,Thom Zimny,United States,3/22/2019,2/21/2020,2018,TV-MA,153 min,Music & Musicals,8.5,2178
s1669,Movie,Django Unchained,Quentin Tarantino,United States,08-04-2021,11/29/2019,2012,R,165 min,"Action & Adventure, Dramas",8.4,1472668
s4231,Movie,Madness in the Desert,Satyajit Bhatkal,India,5/29/2021,9/12/2020,2004,TV-14,141 min,"Documentaries, International Movies",8.4,373
s4895,Movie,3 Idiots,Rajkumar Hirani,India,5/14/2021,6/11/2020,2009,PG-13,164 min,"Comedies, Dramas, International Movies",8.4,385782
s8691,Movie,Black Friday,Anurag Kashyap,India,01-06-2021,7/10/2016,2004,TV-MA,162 min,"Dramas, International Movies",8.4,20611
s738,TV Show,Julie and the Phantoms,Kenny Ortega,United States,10/19/2020,9/09/2021,2020,TV-G,1 Season,"Kids' TV, TV Comedies",8.4,9461
s1583,TV Show,Naruto,Hayato Date,Japan,11/27/2019,11/29/2019,2006,TV-14,9 Seasons,"Anime Series, International TV Shows",8.4,93980
s1598,Movie,Dave Chappelle: Sticks & Stones,Stan Lathan,United States,11/19/2019,3/25/2019,2019,TV-MA,66 min,Stand-Up Comedy,8.4,25687
s1665,Movie,Super Deluxe,Thiagarajan Kumararaja,India,10/18/2019,1/11/2018,2019,TV-MA,176 min,"Comedies, Dramas, International Movies",8.4,13680
s1936,TV Show,Innocent,Seren Yüce,Turkey,4/26/2019,6/15/2018,2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",8.4,17727
s2173,Movie,Harishchandrachi Factory,Paresh Mokashi,India,12-04-2018,7/04/2017,2009,TV-PG,99 min,"Dramas, International Movies",8.4,2464
s2464,TV Show,James Acaster: Repertoire,Dan Lucchesi,United Kingdom,7/25/2018,3/03/2021,2018,TV-14,1 Season,"British TV Shows, International TV Shows, Stand-Up Comedy & Talk Shows",8.4,3545
s2757,Movie,Dangal,Nitesh Tiwari,India,11/24/2017,12/25/2020,2016,TV-PG,161 min,"Dramas, International Movies, Sports Movies",8.4,180247
s3017,Movie,Bo Burnham: Make Happy,"Bo Burnham, Christopher Storer",United States,05-01-2017,11/13/2020,2016,TV-MA,60 min,"Music & Musicals, Stand-Up Comedy",8.4,14356
s431,Movie,Once Upon a Time in America,Sergio Leone,Italy,09-02-2021,10/30/2020,1984,R,229 min,"Classic Movies, Dramas",8.3,342335
s414,TV Show,Last Tango in Halifax,Juliet May,United Kingdom,03-05-2021,1/04/2021,2020,TV-MA,4 Seasons,"British TV Shows, Romantic TV Shows, TV Dramas",8.3,6844
s1204,TV Show,Kingdom,Kim Seong-hun,South Korea,5/14/2020,8/07/2018,2020,TV-MA,2 Seasons,"International TV Shows, Korean TV Shows, TV Action & Adventure",8.3,43760
s1240,Movie,Taxi Driver,Daniel Oriahi,Nigeria,05-01-2020,6/15/2018,2015,TV-MA,94 min,"Comedies, Dramas, Independent Movies",8.3,795222
s1433,Movie,Mallesham,Raj R,India,02-01-2020,9/06/2017,2019,TV-14,131 min,"Dramas, Independent Movies, International Movies",8.3,1036
s1860,Movie,Starting Over Again,Olivia M. Lamasan,Philippines,06-07-2019,5/14/2021,2014,TV-14,128 min,"Dramas, International Movies, Romantic Movies",8.3,15
s2327,Movie,Bo Burnham: what.,"Bo Burnham, Christopher Storer",United States,10-02-2018,11/30/2020,2013,TV-MA,60 min,Stand-Up Comedy,8.3,11488
s2585,Movie,Cuba and the Cameraman,Jon Alpert,United States,4/24/2018,7/02/2020,2017,TV-14,114 min,Documentaries,8.3,4715
s3063,Movie,Winter on Fire: Ukraine's Fight for Freedom,Evgeny Afineevsky,United Kingdom,3/24/2017,3/24/2017,2015,TV-MA,99 min,"Documentaries, International Movies",8.3,17710
s3095,Movie,Bill Burr: I'm Sorry You Feel That Way,Jay Karas,United States,02-10-2017,10/02/2017,2014,TV-MA,81 min,Stand-Up Comedy,8.3,7954
s258,TV Show,Ouran High School Host Club,Takuya Igarashi,Japan,6/28/2021,6/20/2019,2006,TV-PG,1 Season,"Anime Series, Romantic TV Shows, Teen TV Shows",8.2,9763
s696,Movie,Kiss the Ground,"Joshua Tickell, Rebecca Harrell Tickell",United States,11-01-2020,7/13/2017,2020,TV-G,85 min,Documentaries,8.2,6607
s684,Movie,The Blue Elephant 2,Marwan Hamed,Egypt,10/30/2020,9/06/2017,2019,TV-MA,130 min,"Horror Movies, International Movies, Thrillers",8.2,9475
s736,Movie,Cycle,Prakash Kunte,India,10/19/2020,7/04/2017,2018,TV-PG,96 min,"Comedies, Dramas, International Movies",8.2,479
s894,Movie,Drishyam,Nishikant Kamat,India,09-07-2020,8/27/2021,2015,TV-14,162 min,"Dramas, International Movies, Thrillers",8.2,79075
s906,Movie,Queen,Vikas Bahl,India,8/31/2020,1/07/2021,2014,TV-MA,138 min,"Comedies, Dramas, International Movies",8.2,64805
s1209,Movie,Miracle in Cell No. 7,Mehmet Ada Öztekin,Turkey,5/14/2020,3/03/2021,2019,TV-14,132 min,"Dramas, International Movies",8.2,46939
s1601,Movie,Article 15,Anubhav Sinha,India,11/29/2019,11/13/2020,2019,TV-MA,125 min,"Dramas, International Movies, Thrillers",8.2,32336
s1963,Movie,Monty Python and the Holy Grail,"Terry Gilliam, Terry Jones",United Kingdom,2/22/2019,7/02/2020,1975,PG,92 min,"Action & Adventure, Classic Movies, Comedies",8.2,530877
s1982,Movie,Andhadhun,Sriram Raghavan,India,3/22/2019,12/15/2019,2018,TV-14,137 min,"Comedies, Dramas, International Movies",8.2,88359
s2091,Movie,Paan Singh Tomar,Tigmanshu Dhulia,India,1/28/2019,5/11/2019,2010,TV-14,129 min,"Action & Adventure, Dramas, International Movies",8.2,35888
s2225,Movie,PK,Rajkumar Hirani,India,11/13/2018,5/04/2018,2014,TV-14,146 min,"Comedies, Dramas, International Movies",8.2,178012
s2339,Movie,Bill Burr: You People Are All the Same,Jay Karas,United States,10-01-2018,2/19/2018,2012,TV-MA,69 min,Stand-Up Comedy,8.2,7370
s2447,Movie,John Mulaney: New in Town,Ryan Polito,United States,08-02-2018,11/08/2016,2012,TV-MA,60 min,Stand-Up Comedy,8.2,6608
s2806,Movie,Hasan Minhaj: Homecoming King,Christopher Storer,United States,10/13/2017,9/24/2021,2017,TV-MA,73 min,Stand-Up Comedy,8.2,7120
s2902,Movie,13TH,Ava DuVernay,United States,08-01-2017,8/07/2021,2016,TV-MA,101 min,Documentaries,8.2,34914
s3068,Movie,Cowspiracy: The Sustainability Secret,"Kip Andersen, Keegan Kuhn",United States,3/17/2017,3/17/2017,2014,TV-PG,90 min,Documentaries,8.2,24845
s3097,Movie,Virunga,Orlando von Einsiedel,United Kingdom,02-07-2017,7/02/2017,2014,TV-MA,100 min,"Documentaries, International Movies",8.2,11403
s3199,Movie,Sudani from Nigeria,Zakariya,India,07-01-2016,1/07/2016,2018,TV-14,115 min,"Comedies, Dramas, International Movies",8.2,4159
s928,Movie,Bombay,Mani Ratnam,India,8/27/2021,10/18/2019,1995,TV-14,135 min,"Dramas, International Movies, Romantic Movies",8.1,12512
s3057,TV Show,The Rational Life,Hsu Fu-chun,Taiwan,07-09-2021,3/10/2020,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",8.1,445
s271,Movie,Asmaa,Amr Salama,Egypt,6/17/2021,7/15/2018,2011,TV-14,92 min,"Dramas, International Movies",8.1,4445
s3977,Movie,Nayattu,Martin Prakkat,India,06-11-2021,6/15/2018,2021,TV-MA,122 min,"Dramas, International Movies, Thrillers",8.1,6780
s309,Movie,Rush,Ron Howard,United Kingdom,5/27/2021,1/27/2017,2013,R,123 min,"Action & Adventure, Dramas, International Movies",8.1,465254
s330,Movie,Seaspiracy,Ali Tabrizi,United States,05-07-2021,1/07/2021,2021,TV-14,90 min,Documentaries,8.1,29604
s427,Movie,Into the Wild,Sean Penn,United States,03-01-2021,10/22/2020,2007,R,148 min,"Action & Adventure, Dramas, Independent Movies",8.1,611379
s450,TV Show,Paava Kadhaigal,"Sudha Kongara, Vignesh Shivan, Gautham Vasudev Menon, Vetri Maaran",India,02-12-2021,6/18/2020,2020,TV-MA,1 Season,"International TV Shows, TV Dramas",8.1,6628
s469,Movie,The Beginning of Life 2: Outside,Renata Terra,Brazil,12/24/2020,8/02/2019,2020,TV-PG,92 min,"Documentaries, International Movies",8.1,18
s609,Movie,The Three Deaths of Marisela Escobedo,Carlos Pérez Osorio,Mexico,11/23/2020,1/07/2018,2020,TV-MA,110 min,"Documentaries, International Movies",8.1,1641
s615,Movie,The Legend of Bhagat Singh,Rajkumar Santoshi,India,11/19/2020,4/05/2018,2002,TV-14,156 min,"Dramas, International Movies",8.1,16225
s748,Movie,My Octopus Teacher,"Pippa Ehrlich, James Reed",South Africa,10/16/2020,1/04/2018,2020,TV-G,86 min,"Children & Family Movies, Documentaries, International Movies",8.1,51232
s1217,TV Show,Velvet,Carlos Sedes,Spain,05-08-2020,4/14/2017,2016,TV-14,4 Seasons,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",8.1,6018
s1360,Movie,Dil Chahta Hai,Farhan Akhtar,India,03-06-2020,12/26/2015,2001,TV-14,185 min,"Comedies, Dramas, International Movies",8.1,71167
s1387,Movie,Zindagi Na Milegi Dobara,Zoya Akhtar,India,2/28/2020,9/24/2021,2011,TV-14,154 min,"Comedies, Dramas, International Movies",8.1,75801
s1411,Movie,Qismat,Jagdeep Sidhu,India,2/16/2020,1/09/2021,2018,TV-PG,137 min,"Dramas, International Movies, Romantic Movies",8.1,3037
s1451,Movie,Klaus,Sergio Pablos,Spain,1/22/2020,8/07/2021,2019,PG,98 min,"Children & Family Movies, Comedies",8.1,141480
s1562,Movie,Bill Burr: Paper Tiger,Mike Binder,United States,12-05-2019,6/17/2021,2019,TV-MA,67 min,Stand-Up Comedy,8.1,10649
s1614,Movie,Uyare,Manu Ashokan,India,11-08-2019,4/22/2021,2019,TV-14,119 min,"Dramas, International Movies",8.1,3522
s1666,Movie,El testigo,Kate Horne,Colombia,10/18/2019,11/02/2021,2018,TV-14,73 min,"Documentaries, International Movies",8.1,210
s2057,Movie,Barfi!,Anurag Basu,India,2/23/2019,4/16/2020,2012,TV-14,144 min,"Comedies, Dramas, International Movies",8.1,80643
s2162,Movie,Parrot Sketch Not Included: Twenty Years of Monty Python,Ian MacNaughton,United Kingdom,12/16/2018,3/24/2020,1989,TV-14,72 min,Comedies,8.1,1522
s2201,Movie,Udaan,Vikramaditya Motwane,India,11/30/2018,5/02/2020,2010,TV-MA,137 min,"Dramas, Independent Movies, International Movies",8.1,44556
s2251,Movie,Mersal,Atlee Kumar,India,11-01-2018,8/30/2019,2017,TV-14,162 min,"Action & Adventure, Dramas, International Movies",8.1,32573
s2275,Movie,Haider,Vishal Bhardwaj,India,11-01-2018,8/26/2019,2014,TV-MA,154 min,"Dramas, International Movies, Romantic Movies",8.1,54001
s2264,Movie,Rang De Basanti,Rakeysh Omprakash Mehra,India,11-01-2018,6/14/2019,2006,TV-14,159 min,"Dramas, International Movies",8.1,118092
s2354,Movie,Hannah Gadsby: Nanette,"Madeleine Parry, Jon Olb",Australia,10-01-2018,3/21/2019,2018,TV-MA,70 min,Stand-Up Comedy,8.1,12035
s2387,Movie,Manhunt,John Woo,China,09-01-2018,3/07/2018,2017,TV-MA,109 min,"Action & Adventure, International Movies",8.1,57459
s2492,Movie,Swades,Ashutosh Gowariker,India,07-01-2018,2/21/2018,2004,TV-PG,185 min,"Dramas, International Movies",8.1,89085
s2731,Movie,Chasing Coral,Jeff Orlowski,United States,12/19/2017,11/17/2017,2017,TV-PG,89 min,Documentaries,8.1,5143
s2934,Movie,Richard Pryor: Live in Concert,Jeff Margolis,United States,6/26/2017,9/05/2017,1979,TV-MA,79 min,Stand-Up Comedy,8.1,5141
s3105,Movie,The Square,Jehane Noujaim,United Kingdom,1/20/2017,1/20/2017,2013,TV-MA,105 min,"Documentaries, International Movies",8.1,8949
s55,Movie,Angamaly Diaries,Lijo Jose Pellissery,India,09-08-2021,8/21/2020,2017,TV-14,128 min,"Action & Adventure, Comedies, Dramas",8,5901
s2788,TV Show,Cleo & Cuquin,Fernando Moro,Spain,07-09-2021,11/13/2020,2020,TV-Y,2 Seasons,Kids' TV,8,98
s280,Movie,Cinema Bandi,Praveen Kandregula,India,6/16/2021,5/04/2018,2021,TV-MA,99 min,"Comedies, Independent Movies, International Movies",8,2416
s304,Movie,Vizontele,"Yılmaz Erdoğan, Ömer Faruk Sorak",Turkey,06-02-2021,7/17/2017,2001,TV-MA,106 min,"Comedies, Dramas, International Movies",8,36291
s576,Movie,Bending the Arc,"Kief Davidson, Pedro Kos",United States,12-09-2020,4/16/2020,2017,TV-MA,102 min,Documentaries,8,314
s677,Movie,Ankhon Dekhi,Rajat Kapoor,India,11-06-2020,4/15/2020,2013,TV-PG,104 min,"Dramas, Independent Movies, International Movies",8,11330
s777,Movie,"Take the Ball, Pass the Ball",Duncan McMath,Spain,10-12-2020,3/24/2020,2018,TV-MA,109 min,"Documentaries, International Movies, Sports Movies",8,3064
s845,TV Show,Sinatra: All or Nothing at All,Alex Gibney,United States,9/17/2020,1/03/2020,2015,TV-14,1 Season,Docuseries,8,2354
s908,Movie,Special 26,Neeraj Pandey,India,09-01-2020,6/09/2019,2013,TV-PG,137 min,"Dramas, International Movies, Thrillers",8,55489
s923,Movie,The Silence of Others,"Almudena Carracedo, Robert Bahar",Spain,8/21/2020,8/30/2019,2019,TV-14,96 min,"Documentaries, International Movies",8,2048
s1000,Movie,Sorry To Disturb,Khaled Marei,Egypt,07-06-2020,8/26/2019,2008,TV-14,116 min,"Dramas, International Movies",8,5824
s1056,Movie,Mike Birbiglia: My Girlfriend's Boyfriend,Seth Barrish,United States,07-01-2020,1/02/2019,2013,TV-14,76 min,Stand-Up Comedy,8,3284
s1348,TV Show,Don't F**k with Cats: Hunting an Internet Killer,Mark Lewis,United Kingdom,3/13/2020,4/13/2018,2019,TV-MA,1 Season,"Crime TV Shows, Docuseries",8,50250
s1565,Movie,Sebastian Maniscalco: What's Wrong with People?,Manny Rodriguez,United States,12-01-2019,1/19/2018,2012,TV-MA,76 min,Stand-Up Comedy,8,1194
s1634,Movie,Manu,Phanindra Narsetti,India,11-02-2019,11/17/2017,2018,TV-14,177 min,"Dramas, Independent Movies, International Movies",8,1073
s1648,TV Show,Comedians in Cars Getting Coffee,Jerry Seinfeld,United States,11-01-2019,9/05/2017,2019,TV-14,6 Seasons,"Stand-Up Comedy & Talk Shows, TV Comedies",8,12363
s1810,Movie,Love O2O,Tianyu Zhao,China,3/16/2018,1/10/2016,2016,TV-14,103 min,"International Movies, Romantic Movies, Sci-Fi & Fantasy",8,2322
s1833,Movie,Jeff Dunham: Arguing with Myself,Manny Rodriguez,United States,6/20/2019,1/08/2016,2006,TV-MA,69 min,Stand-Up Comedy,8,3984
s2245,TV Show,GHOUL,Patrick Graham,India,11-01-2018,6/17/2021,2018,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Horror",8,6
s2326,Movie,I Am Kalam,Nila Madhab Panda,India,10-01-2018,6/15/2021,2010,TV-PG,87 min,"Children & Family Movies, Comedies, Dramas",8,4166
s2748,Movie,The Invisible Guest,Paulo Oriol,Spain,12-01-2017,10/19/2020,2016,TV-14,106 min,"International Movies, Thrillers",8,170351
s3037,Movie,Ip Man,Wilson Yip,Hong Kong,4/18/2017,8/26/2020,2008,R,107 min,"Action & Adventure, Dramas, International Movies",8,221095
s3103,Movie,The Battered Bastards of Baseball,"Chapman Way, Maclain Way",United States,1/24/2017,1/24/2017,2014,TV-MA,80 min,"Documentaries, Sports Movies",8,3953
s3143,Movie,Casino Royale,Martin Campbell,United Kingdom,11/25/2016,11/25/2016,2006,PG-13,145 min,Action & Adventure,8,644336
s3162,Movie,Her,Spike Jonze,United States,10-07-2016,7/10/2016,2013,R,126 min,"Dramas, Romantic Movies, Sci-Fi & Fantasy",8,586679
s1093,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,United States,09-10-2021,5/28/2020,2018,TV-MA,97 min,"Documentaries, Music & Musicals",7.9,1285
s62,Movie,Dhanak,Nagesh Kukunoor,India,09-09-2021,12/14/2018,2015,TV-PG,114 min,"Comedies, Dramas, Independent Movies",7.9,3893
s3850,Movie,The Last Days,James Moll,United States,6/18/2021,5/22/2020,1998,PG-13,87 min,Documentaries,7.9,4247
s384,Movie,Blanche Gardin: I talk to myself,Maïa Sandoz,France,04-01-2021,1/11/2018,2017,TV-MA,88 min,Stand-Up Comedy,7.9,133
s7034,Movie,Isa Pa with Feelings,Prime Cruz,Philippines,2/19/2021,1/19/2018,2019,TV-G,102 min,"International Movies, Romantic Movies",7.9,332
s682,Movie,Jab We Met,Imtiaz Ali,India,11-05-2020,1/10/2016,2007,TV-14,143 min,"Comedies, International Movies, Music & Musicals",7.9,51945
s737,Movie,Dhh,Manish Saini,India,10/19/2020,9/17/2021,2017,TV-G,127 min,"Children & Family Movies, Dramas, International Movies",7.9,320
s791,Movie,Septembers of Shiraz,Wayne Blair,United States,10-03-2020,9/09/2021,2016,PG-13,110 min,"Dramas, Thrillers",7.9,38
s914,Movie,I Am Not Your Negro,Raoul Peck,Switzerland,09-01-2020,1/08/2021,2017,PG-13,94 min,Documentaries,7.9,21632
s1166,Movie,Kal Ho Naa Ho,Nikkhil Advani,India,5/28/2020,10/06/2021,2003,TV-14,187 min,"Comedies, Dramas, International Movies",7.9,68028
s1400,Movie,Marriage Story,Noah Baumbach,United Kingdom,2/21/2020,12/17/2020,2019,R,137 min,Dramas,7.9,290643
s1572,Movie,Ee Nagaraniki Emaindi,Tharun Bhascker,India,11/29/2019,5/11/2020,2018,TV-14,133 min,"Comedies, Independent Movies, International Movies",7.9,2817
s1976,Movie,Struggle: The Life and Lost Art of Szukalski,Irek Dobrowolski,Poland,3/25/2019,1/07/2020,2018,TV-MA,105 min,Documentaries,7.9,4082
s2170,Movie,Dev.D,Anurag Kashyap,India,12/14/2018,3/13/2020,2009,TV-MA,137 min,"Dramas, International Movies, Romantic Movies",7.9,30389
s2257,Movie,Pad Man,R. Balki,India,11-01-2018,4/10/2019,2018,PG-13,130 min,"Dramas, International Movies, Romantic Movies",7.9,25269
s2394,Movie,John Mulaney: Kid Gorgeous at Radio City,Alex Timbers,United States,8/28/2018,5/24/2019,2018,TV-MA,65 min,Stand-Up Comedy,7.9,7696
s2470,Movie,Secret Superstar,Advait Chandan,India,7/15/2018,12/16/2018,2017,TV-14,150 min,"Dramas, International Movies, Music & Musicals",7.9,24046
s2475,Movie,Ricky Gervais: Humanity,John L. Spencer,United Kingdom,07-08-2018,11/30/2018,2018,TV-MA,79 min,Stand-Up Comedy,7.9,18523
s2513,Movie,Jerry Seinfeld: I'm Telling You for the Last Time,Marty Callner,United States,6/15/2018,11/20/2018,1998,TV-14,69 min,Stand-Up Comedy,7.9,5834
s2715,Movie,Icarus,Bryan Fogel,United States,01-12-2018,10/19/2018,2017,TV-MA,121 min,"Documentaries, Sports Movies",7.9,48672
s2914,TV Show,Merlin,James Hawes,United Kingdom,7/13/2017,5/15/2018,2012,TV-PG,5 Seasons,"British TV Shows, International TV Shows, TV Action & Adventure",7.9,80138
s2951,Movie,The Ivory Game,"Kief Davidson, Richard Ladkani",Austria,06-09-2017,10/13/2017,2016,TV-14,112 min,Documentaries,7.9,3243
s2987,Movie,Jim Gaffigan: Beyond the Pale,Michael Drumm,United States,5/19/2017,1/07/2017,2005,TV-14,72 min,Stand-Up Comedy,7.9,3940
s3055,Movie,John Mulaney: The Comeback Kid,Rhys Thomas,United States,04-07-2017,5/19/2017,2015,TV-MA,62 min,Stand-Up Comedy,7.9,8471
s3102,Movie,Mission Blue,"Robert Nixon, Fisher Stevens",United States,1/27/2017,1/27/2017,2014,TV-PG,94 min,Documentaries,7.9,1950
s968,Movie,Lift Like a Girl,Mayye Zayed,Egypt,8/27/2021,12/13/2019,2021,TV-PG,93 min,"Documentaries, International Movies, Sports Movies",7.8,208
s3456,Movie,Breaking Boundaries: The Science Of Our Planet,Jonathan Clay,United States,07-01-2021,11/17/2017,2021,TV-PG,74 min,Documentaries,7.8,2534
s293,TV Show,The Innocent,Oriol Paulo,Spain,06-03-2021,1/10/2016,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",7.8,29019
s4909,Movie,My Fair Lady,George Cukor,United States,5/14/2021,1/08/2021,1964,G,173 min,"Classic Movies, Music & Musicals",7.8,94121
s5090,Movie,7 Yards: The Chris Norton Story,Jonathon Link,United States,05-10-2021,7/14/2021,2021,TV-PG,93 min,Documentaries,7.8,258
s343,Movie,C/O Kaadhal,Hemambar Jasti,India,4/27/2021,6/17/2021,2021,TV-14,131 min,"Dramas, International Movies, Romantic Movies",7.8,339
s6698,Movie,Gangaajal,Prakash Jha,India,03-03-2021,8/26/2020,2003,TV-MA,148 min,"Dramas, International Movies",7.8,17029
s438,TV Show,SanPa: Sins of the Savior,Cosima Spender,Italy,2/24/2021,8/13/2020,2020,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows",7.8,1488
s429,Movie,Cemara's Family,Yandy Laurens,Indonesia,2/18/2021,5/07/2020,2018,TV-G,110 min,"Children & Family Movies, Dramas, International Movies",7.8,750
s462,Movie,Fukrey Boyzzz: Space Mein Fukrapanti,Avinash Walzade,India,12/25/2020,4/10/2019,2020,TV-Y7,75 min,"Children & Family Movies, Comedies",7.8,14
s595,Movie,Whispers,Maroun Baghdadi,Lebanon,11/30/2020,9/27/2019,1980,TV-14,93 min,"Documentaries, International Movies",7.8,75
s647,Movie,Hunt for the Wilderpeople,Taika Waititi,New Zealand,11/13/2020,8/13/2019,2016,PG-13,101 min,"Action & Adventure, Comedies, Dramas",7.8,125720
s725,Movie,How to Train Your Dragon 2,Dean DeBlois,United States,10/22/2020,12/07/2019,2014,PG,102 min,Children & Family Movies,7.8,327565
s1109,Movie,A Secret Love,Chris Bolan,United States,6/18/2020,1/11/2018,2020,TV-14,83 min,"Documentaries, LGBTQ Movies",7.8,4334
s1245,Movie,System Crasher,Nora Fingscheidt,Germany,4/30/2020,10/19/2018,2020,TV-MA,120 min,"Dramas, Independent Movies, International Movies",7.8,12699
s1373,Movie,Lakshya,Farhan Akhtar,India,03-03-2020,5/15/2018,2004,TV-PG,185 min,"Action & Adventure, Dramas, International Movies",7.8,23076
s1421,Movie,The Irishman,Martin Scorsese,United States,02-07-2020,10/13/2017,2019,R,209 min,Dramas,7.8,371209
s1516,Movie,The Game Changers,Louie Psihoyos,United States,12/15/2019,5/19/2017,2018,TV-MA,86 min,"Documentaries, Sports Movies",7.8,19708
s1537,Movie,Salam - The First ****** Nobel Laureate,Anand Kamalakar,United States,12/15/2019,7/03/2017,2018,TV-PG,76 min,Documentaries,7.8,414
s1538,TV Show,Gotham,Danny Cannon,United States,12/13/2019,2/12/2016,2019,TV-MA,5 Seasons,"Crime TV Shows, TV Action & Adventure, TV Dramas",7.8,226081
s1622,Movie,Badla,Sujoy Ghosh,India,11-05-2019,7/15/2016,2019,TV-14,117 min,"International Movies, Thrillers",7.8,27130
